ts,sym,rule,side,trig,off,tp,sl,entry,exit,status,ret,fee,funding,hold_h,touched,recovered,pnl1x,pnl2x,queue_vol,f1,tbsi
2026-09-01 11:35:31,BNBUSDC,adapt_s,short,0.0763,0.0763,0.2543,0.1589,692.9982,694.0995,stop,-0.159,0.040,0.00000,0.51,1,1,-0.1989,-0.3978,37.9533,1,
2026-09-01 11:35:32,XRPUSDC,adapt_s,short,0.1477,0.1477,0.4923,0.3077,1.3802,1.3845,stop,-0.308,0.040,-0.00008,0.06,1,1,-0.3476,-0.6952,122467.1667,1,
2026-09-01 11:35:35,ADAUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.2006,0.2012,stop,-0.300,0.040,-0.00015,0.24,1,1,-0.3398,-0.6797,772006.3684,1,
2026-09-01 11:35:38,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.2976,5.3135,stop,-0.300,0.040,-0.00004,0.03,1,1,-0.3400,-0.6799,4803.5000,1,
2026-09-01 11:35:38,UNIUSDC,adapt_s,short,0.4486,0.4486,1.4955,0.9347,5.2896,5.3391,stop,-0.935,0.040,-0.00006,0.05,1,1,-0.9746,-1.9492,31681.4706,1,
2026-09-01 11:35:39,NEARUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,1.9471,1.9568,tp,0.500,0.000,0.00027,0.22,1,1,0.4997,0.9995,8933.0000,1,
2026-09-01 11:35:40,NEARUSDC,deep_l,long,0.2000,0.5000,0.6000,0.5000,1.9452,1.9569,tp,0.600,0.000,0.00021,0.17,1,1,0.5998,1.1996,48676.3421,1,
2026-09-01 11:35:43,SUIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.7319,0.7341,stop,-0.300,0.040,-0.00005,0.06,1,1,-0.3399,-0.6799,45859.0000,1,
2026-09-01 11:35:49,HBARUSDC,adapt_l,long,0.1376,0.1376,0.4588,0.2867,0.0739,0.0742,tp,0.459,0.000,0.00004,0.17,1,1,0.4587,0.9175,29553.8333,1,
2026-09-01 11:35:49,HBARUSDC,adapt_s,short,0.1385,0.1385,0.4616,0.2885,0.0740,0.0742,stop,-0.289,0.040,-0.00007,0.27,1,1,-0.3285,-0.6569,184727.9091,1,
2026-09-01 11:35:55,TRUMPUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,2.4148,2.4221,stop,-0.300,0.040,-0.00003,0.05,1,1,-0.3400,-0.6799,9900.2117,1,
2026-09-01 11:35:56,TRUMPUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,2.4110,2.4230,stop,-0.500,0.040,-0.00017,0.27,1,1,-0.5398,-1.0797,24904.1036,1,
2026-09-01 11:35:57,ARBUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.1119,0.1125,tp,0.500,0.000,0.00004,0.03,1,1,0.5000,0.9999,184497.1135,1,
2026-09-01 11:36:00,BIOUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.0265,0.0266,stop,-0.300,0.040,-0.00003,0.05,1,1,-0.3400,-0.6799,158783.2000,1,
2026-09-01 11:36:29,ETHUSDC,adapt_s,short,0.1127,0.1127,0.3758,0.2349,2473.7156,2479.5254,stop,-0.235,0.040,-0.00002,0.02,1,1,-0.2748,-0.5497,55.1345,1,
2026-09-01 11:36:32,DOGEUSDC,adapt_s,short,0.1347,0.1347,0.4492,0.2807,0.0831,0.0833,stop,-0.281,0.040,-0.00008,0.07,1,1,-0.3206,-0.6413,1623553.8750,1,
2026-09-01 11:36:33,XRPUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,1.3846,1.3887,stop,-0.300,0.040,-0.00002,0.02,1,1,-0.3400,-0.6800,155324.7750,1,
2026-09-01 11:36:35,LINKUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,11.4338,11.4681,stop,-0.300,0.040,-0.00002,0.02,1,0,-0.3400,-0.6800,2269.2700,1,
2026-09-01 11:36:35,LINKUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,11.4078,11.4648,stop,-0.500,0.040,-0.00008,0.07,1,1,-0.5399,-1.0798,6966.2790,1,
2026-09-01 11:36:37,AVAXUSDC,adapt_s,short,0.1358,0.1358,0.4528,0.2830,7.2709,7.2914,stop,-0.283,0.040,-0.00008,0.07,1,1,-0.3229,-0.6458,7586.2910,1,
2026-09-01 11:36:45,TIAUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.3386,0.3396,stop,-0.300,0.040,-0.00012,0.27,1,1,-0.3399,-0.6798,10853.0000,1,
2026-09-01 11:36:47,FILUSDC,adapt_l,long,0.1759,0.1759,0.5864,0.3665,0.6844,0.6884,tp,0.586,0.000,-0.00000,0.18,1,1,0.5864,1.1729,22973.7200,1,
2026-09-01 11:36:50,WIFUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.1975,0.1981,stop,-0.300,0.040,-0.00002,0.03,1,0,-0.3400,-0.6800,11499.8500,1,
2026-09-01 11:37:00,BIOUSDC,adapt_s,short,0.1861,0.1861,0.6204,0.3878,0.0265,0.0266,stop,-0.388,0.040,-0.00004,0.07,1,1,-0.4277,-0.8555,93418.4000,1,
2026-09-01 11:37:01,BOMEUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.0009,0.0009,stop,-0.300,0.040,-0.00036,0.57,1,1,-0.3396,-0.6793,6436437.1429,1,
2026-09-01 11:37:57,ORDIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,3.9489,3.9607,stop,-0.300,0.040,-0.00002,0.03,1,1,-0.3400,-0.6800,329.5667,1,
2026-09-01 11:37:57,ORDIUSDC,adapt_s,short,0.1883,0.1883,0.6276,0.3922,3.9484,3.9639,stop,-0.392,0.040,-0.00002,0.03,1,1,-0.4322,-0.8644,329.5667,1,
2026-09-01 11:38:38,BTCUSDC,adapt_s,short,0.1000,0.1000,0.3334,0.2084,78655.6957,78819.6005,stop,-0.208,0.040,-0.00004,0.05,1,1,-0.2483,-0.4967,2.1367,1,
2026-09-01 11:38:49,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.3577,5.3738,stop,-0.300,0.040,-0.00002,0.02,1,0,-0.3400,-0.6800,4656.0000,1,
2026-09-01 11:38:50,UNIUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,5.3697,5.3966,stop,-0.500,0.040,-0.00002,0.02,1,0,-0.5400,-1.0800,10534.6667,1,
2026-09-01 11:39:02,WLDUSDC,adapt_s,short,0.2644,0.2644,0.8814,0.5508,0.3674,0.3694,stop,-0.551,0.040,-0.00014,0.12,1,1,-0.5907,-1.1814,38253.0400,1,
2026-09-01 11:40:47,ORDIUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,3.9466,3.9664,stop,-0.500,0.040,-0.00008,0.13,1,1,-0.5399,-1.0798,7781.9333,1,
2026-09-01 11:44:06,ADAUSDC,adapt_s,short,0.2062,0.2062,0.6874,0.4297,0.2007,0.2016,stop,-0.430,0.040,-0.00010,0.16,1,1,-0.4696,-0.9391,798359.9698,1,
2026-09-01 11:45:16,ARBUSDC,fixed_l,long,0.2000,0.2000,0.5000,0.3000,0.1128,0.1125,stop,-0.300,0.040,0.00004,0.03,1,1,-0.3400,-0.6801,96263.4000,1,
2026-09-01 11:46:06,TRUMPUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,2.4319,2.4197,tp,0.500,0.000,-0.00007,0.12,1,1,0.5001,1.0001,6628.6467,1,
2026-09-01 11:46:09,ARBUSDC,deep_l,long,0.2000,0.5000,0.6000,0.5000,0.1116,0.1110,stop,-0.500,0.040,0.00000,0.00,1,1,-0.5400,-1.0800,177824.6620,1,
2026-09-01 11:46:12,BOMEUSDC,deep_s,short,0.2000,0.5000,0.6000,0.5000,0.0009,0.0009,tp,0.600,0.000,-0.00010,0.15,1,1,0.6001,1.2002,23844380.5714,1,
2026-09-01 11:46:46,UNIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,5.4298,5.4027,tp,0.500,0.000,-0.00005,0.04,1,1,0.5001,1.0001,17337.0000,1,
2026-09-01 11:47:07,ETHFIUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.5715,0.5687,tp,0.500,0.000,-0.00013,0.20,1,1,0.5001,1.0003,8868.9000,1,
2026-09-01 11:47:43,NEARUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,1.9639,1.9698,stop,-0.300,0.040,-0.00018,0.15,1,1,-0.3398,-0.6796,80436.0882,1,
2026-09-01 11:47:47,FILUSDC,fixed_s,short,0.2000,0.2000,0.5000,0.3000,0.6870,0.6890,stop,-0.300,0.040,0.00001,0.47,1,1,-0.3400,-0.6800,32216.8000,1,
2026-09-01 11:47:47,FILUSDC,adapt_s,short,0.1746,0.1746,0.5819,0.3637,0.6868,0.6893,stop,-0.364,0.040,0.00001,0.47,1,1,-0.4037,-0.8074,29434.5600,1,
